event_time,network,network_region,price_aud_mwh,demand_mw
2026-05-02T19:55:00Z,NEM,NSW1,56.06,6292.3
2026-05-02T19:55:00Z,NEM,QLD1,50.94,5578.67
2026-05-02T19:55:00Z,NEM,SA1,-2.01,1280.51
2026-05-02T19:55:00Z,NEM,TAS1,72.88,917.92
2026-05-02T19:55:00Z,NEM,VIC1,-2.05,3783.4
2026-05-02T20:00:00Z,NEM,NSW1,56.06,6260.74
2026-05-02T20:00:00Z,NEM,QLD1,51.3,5635.37
2026-05-02T20:00:00Z,NEM,SA1,-3.0,1275.25
2026-05-02T20:00:00Z,NEM,TAS1,71.86,928.82
2026-05-02T20:00:00Z,NEM,VIC1,-3.03,3710.33
2026-05-02T20:05:00Z,NEM,NSW1,56.06,6232.37
2026-05-02T20:05:00Z,NEM,QLD1,50.91,5566.27
2026-05-02T20:05:00Z,NEM,SA1,-2.01,1270.92
2026-05-02T20:05:00Z,NEM,TAS1,72.84,930.93
2026-05-02T20:05:00Z,NEM,VIC1,-2.08,3791.95
2026-05-02T20:10:00Z,NEM,NSW1,57.14,6259.15
2026-05-02T20:10:00Z,NEM,QLD1,51.95,5631.95
2026-05-02T20:10:00Z,NEM,SA1,-1.1,1263.49
2026-05-02T20:10:00Z,NEM,TAS1,85.82,939.2
2026-05-02T20:10:00Z,NEM,VIC1,-1.14,3789.98
2026-05-02T20:15:00Z,NEM,NSW1,56.06,6427.57
2026-05-02T20:15:00Z,NEM,QLD1,51.2,5633.57
2026-05-02T20:15:00Z,NEM,SA1,-1.1,1271.5
2026-05-02T20:15:00Z,NEM,TAS1,85.83,950.96
2026-05-02T20:15:00Z,NEM,VIC1,-1.12,3761.84
2026-05-02T20:20:00Z,NEM,NSW1,57.51,6385.49
2026-05-02T20:20:00Z,NEM,QLD1,52.73,5659.66
2026-05-02T20:20:00Z,NEM,SA1,-2.22,1285.36
2026-05-02T20:20:00Z,NEM,TAS1,71.95,953.93
2026-05-02T20:20:00Z,NEM,VIC1,-2.26,3767.34
2026-05-02T20:25:00Z,NEM,NSW1,56.06,6384.11
2026-05-02T20:25:00Z,NEM,QLD1,49.4,5636.38
2026-05-02T20:25:00Z,NEM,SA1,-1.05,1283.07
2026-05-02T20:25:00Z,NEM,TAS1,73.17,953.57
2026-05-02T20:25:00Z,NEM,VIC1,-1.09,3853.44
2026-05-02T20:30:00Z,NEM,NSW1,57.51,6441.56
2026-05-02T20:30:00Z,NEM,QLD1,51.2,5670.44
2026-05-02T20:30:00Z,NEM,SA1,-2.23,1279.06
2026-05-02T20:30:00Z,NEM,TAS1,71.95,953.37
